Domain Code,Domain,Area Code (M49),Area,Indicator Code,Indicator,Sex Code,Sex,Year Code,Year,Element Code,Element,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","1","Total","2006","2006","6199","Value","3023","Labour force survey","1000 No","30058.14","X","Figure from international organizations","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","1","Total","2007","2007","6199","Value","3023","Labour force survey","1000 No","30970.08","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","1","Total","2008","2008","6199","Value","3023","Labour force survey","1000 No","32113","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","1","Total","2009","2009","6199","Value","3023","Labour force survey","1000 No","33216.23","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","1","Total","2010","2010","6199","Value","3023","Labour force survey","1000 No","34167.54","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","1","Total","2011","2011","6199","Value","3023","Labour force survey","1000 No","35667","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","1","Total","2013","2013","6199","Value","3023","Labour force survey","1000 No","37037.59","X","Figure from international organizations","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","1","Total","2014","2014","6199","Value","3023","Labour force survey","1000 No","37154.76","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","1","Total","2015","2015","6199","Value","3023","Labour force survey","1000 No","37956.41","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","1","Total","2016","2016","6199","Value","3023","Labour force survey","1000 No","39101.88","X","Figure from international organizations","Criteria used to define rural/urban areas: Definition based on administrative area | Break in series: Other or unspecified type of break Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old | Age coverage - maximum age: 70 years old"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","1","Total","2018","2018","6199","Value","3023","Labour force survey","1000 No","39096.14","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 No","39241.32","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","1","Total","2021","2021","6199","Value","3023","Labour force survey","1000 No","41648.85","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","2","Male","2006","2006","6199","Value","3023","Labour force survey","1000 No","23320.72","X","Figure from international organizations","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","2","Male","2007","2007","6199","Value","3023","Labour force survey","1000 No","23733.6","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","2","Male","2008","2008","6199","Value","3023","Labour force survey","1000 No","24283.46","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","2","Male","2009","2009","6199","Value","3023","Labour force survey","1000 No","24954.58","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","2","Male","2010","2010","6199","Value","3023","Labour force survey","1000 No","25293.25","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","2","Male","2011","2011","6199","Value","3023","Labour force survey","1000 No","26190.49","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","2","Male","2013","2013","6199","Value","3023","Labour force survey","1000 No","27229.06","X","Figure from international organizations","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","2","Male","2014","2014","6199","Value","3023","Labour force survey","1000 No","26738","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","2","Male","2015","2015","6199","Value","3023","Labour force survey","1000 No","27325.63","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","2","Male","2016","2016","6199","Value","3023","Labour force survey","1000 No","28144.5","X","Figure from international organizations","Criteria used to define rural/urban areas: Definition based on administrative area | Break in series: Other or unspecified type of break Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old | Age coverage - maximum age: 70 years old"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","2","Male","2018","2018","6199","Value","3023","Labour force survey","1000 No","28763.54","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","2","Male","2019","2019","6199","Value","3023","Labour force survey","1000 No","28145.74","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","2","Male","2021","2021","6199","Value","3023","Labour force survey","1000 No","30069.22","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","3","Female","2006","2006","6199","Value","3023","Labour force survey","1000 No","6737.41","X","Figure from international organizations","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","3","Female","2007","2007","6199","Value","3023","Labour force survey","1000 No","7236.48","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
